mmsi,fpi_proxy_legacy,ecp_proxy_legacy,fpi_proxy_scientific,ecp_proxy_scientific,environment_score,temperature_score,salinity_score,productivity_score,hydrodynamic_score,behavior_score,fpi_delta,ecp_delta
352866000,0.6801716738197425,0.6801716738197425,0.2324,0.2589,0.6019,0.9109,0.9207,0.1104,0.172,0.2255,-0.44777167381974253,-0.4212716738197425
352898704,0.4,0.4,0.024,0.0262,0.7287,0.9135,0.9216,0.116,1.0,0.0225,-0.376,-0.3738
352980780,0.8170212765957447,0.8170212765957447,0.3166,0.3553,0.6236,0.9108,0.92,0.1077,0.3221,0.3053,-0.5004212765957448,-0.46172127659574475
352980873,0.7819383259911894,0.7819383259911894,0.3479,0.3917,0.6314,0.914,0.9212,0.1284,0.33,0.3347,-0.4340383259911894,-0.3902383259911894
353086000,0.9136420525657072,0.9136420525657072,0.2184,0.2431,0.5816,0.9102,0.9238,0.0983,0.0543,0.2132,-0.6952420525657071,-0.6705420525657072
353089000,0.7891025641025642,0.7891025641025642,0.3073,0.3447,0.5968,0.9098,0.9197,0.1113,0.141,0.2986,-0.48180256410256417,-0.4444025641025642
353188000,0.633731343283582,0.633731343283582,0.0713,0.0783,0.6,0.9107,0.9226,0.1036,0.1688,0.0692,-0.562431343283582,-0.555431343283582
353293000,0.7433649289099526,0.7433649289099526,0.2498,0.2786,0.6701,0.911,0.9209,0.1088,0.6285,0.2377,-0.4935649289099526,-0.46476492890995263
353791000,0.6650434782608696,0.6650434782608696,0.1136,0.1252,0.6136,0.9104,0.9199,0.1111,0.2511,0.1099,-0.5514434782608696,-0.5398434782608696
353800000,0.6965317919075145,0.6965317919075145,0.1587,0.1753,0.7161,0.9242,0.916,0.1289,0.873,0.149,-0.5378317919075144,-0.5212317919075145
353824000,0.7637037037037038,0.7637037037037038,0.2436,0.2715,0.6006,0.9095,0.9254,0.1051,0.1696,0.2365,-0.5201037037037037,-0.49220370370370375
353851000,0.8222543352601157,0.8222543352601157,0.6612,0.7671,0.6304,0.9121,0.9195,0.109,0.3629,0.6363,-0.1610543352601157,-0.055154335260115706
354064000,0.4,0.4,0.0238,0.026,0.6979,0.9148,0.9176,0.1173,0.7945,0.0225,-0.37620000000000003,-0.374
354106000,0.8611291752882058,0.8611291752882058,0.9348,1.1167,0.7255,0.9125,0.9283,0.0993,1.0,0.8756,0.0736708247117942,0.25557082471179426
354299000,0.4,0.4,0.016,0.0174,0.7229,0.9143,0.9189,0.1115,0.9699,0.015,-0.384,-0.38260000000000005
354797000,0.7173076923076923,0.7173076923076923,0.2062,0.229,0.6889,0.9123,0.9172,0.1101,0.7533,0.1951,-0.5111076923076923,-0.48830769230769233
355106000,0.6718232044198895,0.6718232044198895,0.2795,0.3117,0.7186,0.9192,0.9155,0.1157,0.926,0.2623,-0.3923232044198895,-0.36012320441988954
355502000,0.7542514970059879,0.7542514970059879,0.1234,0.1362,0.6315,0.9119,0.9214,0.1227,0.3451,0.1187,-0.630851497005988,-0.6180514970059879
355738000,0.8250057142857143,0.8250057142857143,0.9005,1.0856,0.7264,0.9148,0.9206,0.1263,0.9653,0.8432,0.07549428571428562,0.26059428571428556
356015000,0.4,0.4,0.0159,0.0173,0.7087,0.912,0.9266,0.1131,0.8685,0.015,-0.3841,-0.38270000000000004
356217000,0.6794520547945205,0.6794520547945205,0.1931,0.2138,0.6946,0.9157,0.9228,0.1237,0.752,0.1824,-0.48635205479452054,-0.46565205479452054
356369000,0.6908130939809927,0.8289757127771912,0.1027,0.1129,0.728,0.925,0.9155,0.1308,0.9483,0.0961,-0.5881130939809927,-0.7160757127771912
356426000,0.7492348284960422,0.7492348284960422,0.3625,0.4088,0.6906,0.9125,0.9236,0.106,0.7624,0.3429,-0.3867348284960422,-0.3404348284960422
356601000,0.64,0.64,0.1282,0.1415,0.6238,0.9135,0.9184,0.1127,0.3101,0.1236,-0.5118,-0.49850000000000005
356641000,0.60801393728223,0.60801393728223,0.0883,0.0971,0.624,0.9112,0.9259,0.1098,0.3127,0.0851,-0.5197139372822299,-0.51091393728223
356815000,0.810989010989011,0.810989010989011,0.2607,0.291,0.6817,0.9163,0.9162,0.1216,0.6771,0.2472,-0.5502890109890111,-0.5199890109890111
357178000,0.7478260869565218,0.7478260869565218,0.115,0.1267,0.6299,0.9107,0.9267,0.1059,0.3587,0.1107,-0.6328260869565218,-0.6211260869565217
357231000,0.638961038961039,0.638961038961039,0.28,0.3131,0.71,0.9147,0.9172,0.1096,0.8887,0.2634,-0.3589610389610389,-0.32586103896103896
357420000,0.5710554951033733,0.5710554951033733,0.0816,0.0894,0.7274,0.9176,0.9183,0.1214,0.9758,0.0764,-0.4894554951033733,-0.4816554951033733
357705000,0.6505494505494506,0.6505494505494506,0.0995,0.1095,0.6359,0.9138,0.9177,0.1129,0.3906,0.0956,-0.5510494505494505,-0.5410494505494505
357921000,0.4,0.4,0.016,0.0174,0.7276,0.9152,0.9192,0.1106,1.0,0.015,-0.384,-0.38260000000000005
368270000,0.9075904677846426,0.9075904677846426,0.9467,1.1442,0.5959,0.9109,0.9183,0.1159,0.1259,0.9202,0.0391095322153574,0.23660953221535752
370119000,0.5591304347826087,0.5591304347826087,0.1057,0.1163,0.7281,0.912,0.9307,0.1085,1.0,0.0989,-0.4534304347826087,-0.4428304347826087
